Tributary	ReachName	ReachID	Crew	Survey	Fishing	Visibility	Weather	Comments	Date	Season	Year	CohoIndividuals	SteelheadIndividuals	ChinookIndividuals	SalmonidSpIndividuals	CohoRedds	SteelheadRedds	ChinookRedds	SalmonidSpRedds
Mill Creek	MIL 2	RR-MIL-003.03:005.75	JB ZR	SS		99	CLEAR SUNNY	SOME TEST DIGGING THROUGHOUT REACH	1/21/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Palmer Creek	PAL 1	RR-PAL-000.00:002.75	WB EM ZS TB	SS		-9999	PARTLY CLOUDY	adult salmonid skin. Some smolts	1/21/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 1	RR-GRE-007.80:012.49	DD SW LC	SS		99	OVERCAST		1/27/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
East Austin Creek	EAU 1	RR-EAU-000.00:002.00	AN BB	SS		99	OVERCAST	NO FISH NO REDDS	1/27/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	EM DD	SS		99	CLEAR SUNNY		1/29/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	AN SW	SS		99	CLEAR SUNNY	No new fish or redds. Evidence of drying tailspills on redds.	1/29/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	HF DD	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 5	RR-ANG-000.00:000.50	TB SW WB	SS		-9999	CLEAR SUNNY		2/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Felta Creek	FEL 1	RR-FEL-000.00:001.83	BCB HF	SS		99	CLEAR SUNNY	"NO FISH NO NEW REDDS, DRY FOR AROUND 100 YDS FROM MOUTH"	2/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 2	RR-RED-001.66:004.58	LC JB ZR ZS	SS		99	OVERCAST	"No new fish, No New Redds, lots of algae"	2/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	WB BW	SS		-9999	OVERCAST		2/11/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	SN AJ	SS		0.6	CLEAR SUNNY	NO FISH NO REDDS	2/12/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 3	RR-POR-004.65:006.83	HF WB	SS		0.5	CLEAR SUNNY	NO FISH NO REDDS	2/12/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	BW JS	SS		1	CLEAR SUNNY	THERMOMETER NOT WORKING	1/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	BW JS	SS		1	CLEAR SUNNY	THERMOMETER NOT WORKING	1/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pechaco Creek	PEC 1	RR-PEC-000.00:002.35	DD CM	SS		3	CLEAR SUNNY	"Pechaco Creek connected at mouth but too shallow for fish passage, fish passage throughout reach is minimal at high gradient areas; No Fish and No redds observed "	1/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Palmer Creek	PAL 1	RR-PAL-000.00:002.75	BW NB	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/7/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 2	RR-GRP-001.39:002.49	JE TB MOH	SS		99	PARTLY CLOUDY	NO FISH NO REDDS	1/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 1	RR-RED-000.00:001.66	NB ZR	SS		99	OVERCAST	1ST SURVEY	1/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 2	RR-RED-001.66:004.58	NB ZR	SS		99	OVERCAST	1ST SURVEY.	1/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Maacama Creek	MAA 4	RR-695-000.00:000.60	JB AN	SS		99	CLEAR SUNNY	NO REDDS. Filled out recon sheet. First time surveying MAA 4. Wide channel with large cobble and very little canopy and boulder cover.	1/14/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	WB AN ZS	SS		99	OVERCAST	NO NEW FISH OR REDDS	1/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	AN ZS WB	SS		99	OVERCAST	NO NEW FISH OR REDDS	1/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	AJ ZR	SS		99	STEADY RAIN	"OTTER AT US END OF REACH, fish skin found throughout reach"	1/16/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pechaco Creek	PEC 1	RR-PEC-000.00:002.35	HF WB	SS		99	SHOWERS	NO FISH OR REDDS OBSERVED	1/16/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 5	RR-ANG-000.00:000.50	BB ZR	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 2	RR-DUT-004.81:009.04	AN SW	SS		99	OVERCAST	NO NEW REDDS	1/21/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 1	RR-GRP-000.00:001.39	BW ZR	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/22/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wine Creek	WIN 1	RR-WIN-000.00:001.65	BW ZR	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/22/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	HF SW	SS		99	CLEAR SUNNY	water getting low	1/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 14	RR-MAR-040.18:042.85	DD EM	SS		99	PARTLY CLOUDY	Found salmonid lower jaw	1/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 5	RR-AUS-009.86:012.13	EM HF	SS		99	OVERCAST		1/27/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 6	RR-AUS-012.13:015.94	JB WB	SS		99	OVERCAST	NO FISH NO NEW REDDS	1/27/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Maacama Creek	MAA 4	RR-695-000.00:000.60	JB BW	SS		99	CLEAR SUNNY		1/28/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	AN WB	SS		99	CLEAR SUNNY	NO NEW FISH NO REDDS. Algae covering most of substrate	1/30/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	SW ZR	SS		99	CLEAR SUNNY		1/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	DD CM	SS		3	PARTLY CLOUDY	Entered Data in the office due to Allegro problems in the field 	1/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	ADJ WB	SS		99	CLEAR SUNNY		1/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 2	RR-DUT-004.81:009.04	HF ZS SW	SS		99	CLEAR SUNNY	Broken Thermometer no temps taken	1/7/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 1	RR-GRP-000.00:001.39	JE MOH T	SS		99	PARTLY CLOUDY	NO FISH NO REDDS	1/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 12	RR-MAR-033.75:037.32	EM HF	SS		99	PARTLY CLOUDY		1/12/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 1	RR-GRE-007.80:012.49	ZR BW	SS		-9999	PARTLY CLOUDY		1/12/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 6	RR-AUS-012.13:015.94	AN JB	SS		99	CLEAR SUNNY	No fish seen	1/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 5	RR-AUS-009.86:012.13	HF SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Kidd Creek	KID 1	RR-KID-000.00:001.67	DD BB	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 7	RR-AUS-015.94:018.53	AN JB	SS		99	CLEAR SUNNY	No fish or redds seen	1/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	AJ BB	SS		99	OVERCAST	RANDOM PARTS OF FISH WERE SEEN THROUGHOUT REACH	1/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Felta Creek	FEL 1	RR-FEL-000.00:001.83	AJ ZR	SS		99	OVERCAST	no new redds or fish (possible passage barrier at mouth debris jam.)	1/16/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	BB ZR	SS		99	CLEAR SUNNY	no new redds or fish	1/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	HF EM ZS TB	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 8	RR-SAN-025.32:028.22	AN JB	SS		99	PARTLY CLOUDY	NO FISH NO REDDS	1/22/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 2	RR-GRP-001.39:002.49	BW ZR	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/22/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 4	RR-WIL-006.15:009.16	EM HF	SS		99	CLEAR SUNNY		1/22/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	JB BW	SS		99	OVERCAST	NO FISH NO NEW REDDS	1/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Kidd Creek	KID 1	RR-KID-000.00:001.67	BB AN	SS		99	OVERCAST	NO FISH NO REDDS	1/27/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 7	RR-AUS-015.94:018.53	JB WB	SS		99	OVERCAST	NO REDDS OBSERVED ONE FISH	1/27/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 3	RR-POR-004.65:006.83	WB BB	SS		99	CLEAR SUNNY	NO FISH OR NEW REDDS	1/28/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 1	RR-POR-000.00:002.43	EM DD	SS		99	CLEAR SUNNY	Salmonid spine found during survey; Mouth of Porter is disconnected ~100' from upstream 	1/28/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	JB HF	SS		99	CLEAR SUNNY	"Did not complete reach. Went about 500m above last redd. No spawning areas, plus time constraint"	1/29/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	ADJ AN	SS		99	CLEAR SUNNY		1/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	AN SW	SS		99	CLEAR SUNNY	NO FISH	1/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 1	RR-DUT-000.00:004.81	AN CT TB	SS		99	CLEAR SUNNY	NO REDDS	1/7/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	SN MH	SS		99	CLEAR SUNNY	NO NEW REDDS OR FISH	1/7/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Felta Creek	FEL 1	RR-FEL-000.00:001.83	DD JS	SS		4	CLEAR SUNNY	Mouth of Felta connected but too shallow for fish passage; NO FISH NO REDDS	1/7/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 5	RR-ANG-000.00:000.50	SN MH	SS		99	CLEAR SUNNY	NO FISH OR REDDS. OTTER	1/7/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	WB ZR	SS		99	PARTLY CLOUDY	beautiful day	1/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wine Creek	WIN 1	RR-WIN-000.00:001.65	JE MOH TB	SS		99	PARTLY CLOUDY	NO FISH NO REDDS	1/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 9	RR-329-000.00:000.67	HF SW	SS		99	CLEAR SUNNY		1/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wallace Creek	WAL 2	RR-WAL-001.83:004.43	HF BW	SS		99	OVERCAST		1/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Maacama Creek	MAA 1	RR-MAA-000.00:002.63	GH MO	SS		99	PARTLY CLOUDY		1/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	SW DD	SS		99	OVERCAST		1/12/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
East Austin Creek	EAU 1	RR-EAU-000.00:002.00	DD BCB	SS		99	CLEAR SUNNY		1/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 3	RR-POR-004.65:006.83	WB EM ZS	SS		99	PARTLY CLOUDY	NO FISH OBSERVED	1/14/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Sheephouse Creek	SHE 1	RR-SHE-000.00:003.55	DD SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS BUT OBSERVED PARR STHD 60-90MM AND PARR COHO APPROX. 100MM IN  SEVERAL POOLS WITH LWD	1/14/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 1	RR-POR-000.00:002.43	HF MW TB	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/14/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	JP HF TB	SS		99	OVERCAST		1/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	DD SW	SS		99	CLEAR SUNNY		1/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	AN JB	SS		99	CLEAR SUNNY	NO FISH NO NEW REDDS	1/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 1	RR-DUT-000.00:004.81	MW DD	SS		99	OVERCAST		1/21/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 9	RR-329-000.00:000.67	SW SN	SS		99	CLEAR SUNNY	NO FISH NO REDDS	1/22/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	WB MW	SS		99	CLEAR SUNNY	Reflagged 12/08/14 redd 002 (missing). 2 Resident fish 150-180mm. WIL3122914003 labelled incorrectly on flagging.	1/22/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 1	RR-RED-000.00:001.66	HF ZR	SS		99	CLEAR SUNNY		1/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 2	RR-RED-001.66:004.58	HF ZR	SS		99	CLEAR SUNNY	upper section is not good habitat	1/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 12	RR-MAR-033.75:037.32	BB AN	SS		99	PARTLY CLOUDY	"NO FISH NO REDDS, ended survey at bridge before Humbug Creek."	1/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	AN WB	SS		99	CLEAR SUNNY	NO NEW FISH NO REDDS. Algae covering most of substrate	1/30/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pechaco Creek	PEC 1	RR-PEC-000.00:002.35	AN MW	SS		99	OVERCAST	NO FISH NO REDDS	2/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	BCB HF	SS		99	CLEAR SUNNY	NO FISH	2/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Dutch Bill Creek	DUT 2	RR-DUT-004.81:009.04	ZR CT	SS		99	CLEAR SUNNY	no new fish no new redds	2/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	NB EM	SS		99	PARTLY CLOUDY	very low water. Staff @ 1.81 ft at 10:23am	2/4/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	BCB DD	SS		99	OVERCAST	NO FISH NO NEW REDDS	2/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	BCB DD	SS		99	OVERCAST	NO FISH NO NEW REDDS	2/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	WB BW	SS		-9999	PARTLY CLOUDY		2/11/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	NB SW	SS		0.6	CLEAR SUNNY		2/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 3	RR-PEN-006.49:009.12	HF WB IV	SS		1.2	CLEAR SUNNY		2/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
East Austin Creek	EAU 1	RR-EAU-000.00:002.00	JB BW	SS		99	OVERCAST	NO FISH NO REDDS	2/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	AN BB TB	SS		99	OVERCAST	"NO FISH, 3 NEW REDDS, BLUE FLAGGING WAS USED TO MARK REDDS, THERE IS AN ADDITIONAL REDD LOCATED ABOVE ANTENNA MIL-6.10 THAT NEEDS TO BE FLAGGED AND WORKED UP NEXT TIME REACH IS SURVEYED"	2/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 1	RR-POR-000.00:002.43	EM ZR	SS		99	OVERCAST	no fish no redds	2/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wallace Creek	WAL 2	RR-WAL-001.83:004.43	AN BB TB	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/18/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 2	RR-MIL-003.03:005.75	AN WB	SS		99	OVERCAST		2/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Felta Creek	FEL 1	RR-FEL-000.00:001.83	LC AB ZR	SS		99	OVERCAST		2/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 4	RR-WIL-006.15:009.16	JB AN	SS		99	CLEAR SUNNY	NO FISH	2/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 10	RR-MAR-027.19:030.60	EM DD	SS		99	CLEAR SUNNY		2/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	HF BB	SS		99	CLEAR SUNNY	NO FISH NO NEW REDDS	2/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	EM ZR	SS		99	CLEAR SUNNY		2/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	AN MW	SS		99	CLEAR SUNNY		2/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pechaco Creek	PEC 1	RR-PEC-000.00:002.35	AN MW	SS		99	CLEAR SUNNY	"No live fish or redds, observed coho yoy"	2/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 1	RR-GRE-007.80:012.49	MW DD	SS		99	OVERCAST	"NO FISH, one Macrothalmia lamprey observed in reach"	3/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Palmer Creek	PAL 1	RR-PAL-000.00:002.75	JB AN	SS		99	CLEAR SUNNY	NO FISH NO REDDS	3/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pechaco Creek	PEC 1	RR-PEC-000.00:002.35	JB BW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Kidd Creek	KID 1	RR-KID-000.00:001.67	JB BW	SS		99	OVERCAST	NO FISH NO REDDS	2/17/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 5	RR-ANG-000.00:000.50	AJ DD	SS		99	CLEAR SUNNY	NO FISH; a couple possible redds observed throughout reach	2/19/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Redwood Creek	RED 2	RR-RED-001.66:004.58	HF IV ZR	SS		99	PARTLY CLOUDY	NO FISH NO REDDS	2/20/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 8	RR-SAN-025.32:028.22	BW SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	DD MW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/23/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 14	RR-MAR-040.18:042.85	BW ZR	SS		99	CLEAR SUNNY		2/24/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	EM ZR	SS		99	CLEAR SUNNY		2/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	SW BW	SS		99	CLEAR SUNNY		2/25/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 2	RR-MIL-003.03:005.75	EM DD	SS		99	CLEAR SUNNY		2/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wallace Creek	WAL 2	RR-WAL-001.83:004.43	SW HF	SS		99	CLEAR SUNNY	NO FISH NO REDDS	2/26/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	JB EM	SS		99	PARTLY CLOUDY	NO FISH NO NEW REDDS. Gauge=1.92 @10:25	3/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 4	RR-MIL-009.98:014.06	AN JB	SS		99	CLEAR SUNNY	NO FISH	3/3/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 5	RR-AUS-009.86:012.13	AN LC SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	3/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Austin Creek	AUS 7	RR-AUS-015.94:018.53	EM JB ZS	SS		99	CLEAR SUNNY		3/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Porter Creek	POR 1	RR-POR-000.00:002.43	JB DD	SS		99	CLEAR SUNNY		3/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Sheephouse Creek	SHE 1	RR-SHE-000.00:003.55	WB JB	SS		99	CLEAR SUNNY	Lamprey redds. No fish and no sal. Sp. Redds.	3/10/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Grape Creek	GRP 2	RR-GRP-001.39:002.49	MW DD	SS		99	OVERCAST	NO FISH NO REDDS	3/10/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 4	RR-PEN-009.12:013.89	WB JB	SS		99	PARTLY CLOUDY	"Some redds seemed older, crew before possibly missed. Weather was all over, rain, sun, wind, clouds, overcast."	3/11/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	BB AB	SS		99	OVERCAST		3/16/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
