Tributary,ReachName,ReachID,Crew,Survey,Year,Fishing,Visibility,Weather,Comments,Season,Date
Porter Creek,POR 1,RR-POR-000.00:002.43,HF MW TB,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-14
Porter Creek,POR 3,RR-POR-004.65:006.83,WB EM ZS,SS,2015,,99,PARTLY CLOUDY,NO FISH OBSERVED,2014-2015,2015-01-14
Sheephouse Creek,SHE 1,RR-SHE-000.00:003.55,DD SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS BUT OBSERVED PARR STHD 60-90MM AND PARR COHO APPROX. 100MM IN  SEVERAL POOLS WITH LWD,2014-2015,2015-01-14
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,EM ZR,SS,2015,,99,OVERCAST,,2014-2015,2015-01-15
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,ZR EM,SS,2015,,99,OVERCAST,,2014-2015,2015-01-15
Pena Creek,PEN 3,RR-PEN-006.49:009.12,AJ BB,SS,2015,,99,OVERCAST,RANDOM PARTS OF FISH WERE SEEN THROUGHOUT REACH,2014-2015,2015-01-15
Pena Creek,PEN 4,RR-PEN-009.12:013.89,JP HF TB,SS,2015,,99,OVERCAST,,2014-2015,2015-01-15
Pena Creek,PEN 5,RR-PEN-013.89:017.04,WB AN ZS,SS,2015,,99,OVERCAST,NO NEW FISH OR REDDS,2014-2015,2015-01-15
Woods Creek,WOO 1,RR-DEA-000.00:001.03,AN ZS WB,SS,2015,,99,OVERCAST,NO NEW FISH OR REDDS,2014-2015,2015-01-15
Felta Creek,FEL 1,RR-FEL-000.00:001.83,AJ ZR,SS,2015,,99,OVERCAST,no new redds or fish (possible passage barrier at mouth debris jam.),2014-2015,2015-01-16
Pechaco Creek,PEC 1,RR-PEC-000.00:002.35,HF WB,SS,2015,,99,SHOWERS,NO FISH OR REDDS OBSERVED,2014-2015,2015-01-16
Pena Creek,PEN 1,RR-PEN-000.00:004.05,AJ ZR,SS,2015,,99,STEADY RAIN,"OTTER AT US END OF REACH, fish skin found throughout reach",2014-2015,2015-01-16
Mill Creek,MIL 1,RR-MIL-000.00:002.46,HF EM ZS TB,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-20
Mill Creek,MIL 3,RR-MIL-005.75:009.98,DD SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-20
Mill Creek,MIL 4,RR-MIL-009.98:014.06,BB ZR,SS,2015,,99,CLEAR SUNNY,no new redds or fish,2014-2015,2015-01-20
Mill Creek,MIL 5,RR-ANG-000.00:000.50,BB ZR,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-20
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,AN JB,SS,2015,,99,CLEAR SUNNY,NO FISH NO NEW REDDS,2014-2015,2015-01-20
Dutch Bill Creek,DUT 1,RR-DUT-000.00:004.81,MW DD,SS,2015,,99,OVERCAST,,2014-2015,2015-01-21
Dutch Bill Creek,DUT 2,RR-DUT-004.81:009.04,AN SW,SS,2015,,99,OVERCAST,NO NEW REDDS,2014-2015,2015-01-21
Mill Creek,MIL 2,RR-MIL-003.03:005.75,JB ZR,SS,2015,,99,CLEAR SUNNY,SOME TEST DIGGING THROUGHOUT REACH,2014-2015,2015-01-21
Palmer Creek,PAL 1,RR-PAL-000.00:002.75,WB EM ZS TB,SS,2015,,-9999,PARTLY CLOUDY,adult salmonid skin. Some smolts,2014-2015,2015-01-21
Grape Creek,GRP 1,RR-GRP-000.00:001.39,BW ZR,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-22
Grape Creek,GRP 2,RR-GRP-001.39:002.49,BW ZR,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-22
Santa Rosa Creek,SAN 8,RR-SAN-025.32:028.22,AN JB,SS,2015,,99,PARTLY CLOUDY,NO FISH NO REDDS,2014-2015,2015-01-22
Santa Rosa Creek,SAN 9,RR-329-000.00:000.67,SW SN,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-22
Willow Creek,WIL 3,RR-WIL-003.49:006.15,WB MW,SS,2015,,99,CLEAR SUNNY,Reflagged 12/08/14 redd 002 (missing). 2 Resident fish 150-180mm. WIL3122914003 labelled incorrectly on flagging.,2014-2015,2015-01-22
Willow Creek,WIL 4,RR-WIL-006.15:009.16,EM HF,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-22
Wine Creek,WIN 1,RR-WIN-000.00:001.65,BW ZR,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-22
Redwood Creek,RED 1,RR-RED-000.00:001.66,HF ZR,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-23
Redwood Creek,RED 2,RR-RED-001.66:004.58,HF ZR,SS,2015,,99,CLEAR SUNNY,upper section is not good habitat,2014-2015,2015-01-23
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,HF SW,SS,2015,,99,CLEAR SUNNY,water getting low,2014-2015,2015-01-26
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,JB BW,SS,2015,,99,OVERCAST,NO FISH NO NEW REDDS,2014-2015,2015-01-26
Mark West Creek,MAR 12,RR-MAR-033.75:037.32,BB AN,SS,2015,,99,PARTLY CLOUDY,"NO FISH NO REDDS, ended survey at bridge before Humbug Creek.",2014-2015,2015-01-26
Mark West Creek,MAR 14,RR-MAR-040.18:042.85,DD EM,SS,2015,,99,PARTLY CLOUDY,Found salmonid lower jaw,2014-2015,2015-01-26
Austin Creek,AUS 5,RR-AUS-009.86:012.13,EM HF,SS,2015,,99,OVERCAST,,2014-2015,2015-01-27
Austin Creek,AUS 6,RR-AUS-012.13:015.94,JB WB,SS,2015,,99,OVERCAST,NO FISH NO NEW REDDS,2014-2015,2015-01-27
Austin Creek,AUS 7,RR-AUS-015.94:018.53,JB WB,SS,2015,,99,OVERCAST,NO REDDS OBSERVED ONE FISH,2014-2015,2015-01-27
East Austin Creek,EAU 1,RR-EAU-000.00:002.00,AN BB,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-01-27
Green Valley Creek,GRE 1,RR-GRE-007.80:012.49,DD SW LC,SS,2015,,99,OVERCAST,,2014-2015,2015-01-27
Kidd Creek,KID 1,RR-KID-000.00:001.67,BB AN,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-01-27
Maacama Creek,MAA 4,RR-695-000.00:000.60,JB BW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-28
Porter Creek,POR 1,RR-POR-000.00:002.43,EM DD,SS,2015,,99,CLEAR SUNNY,Salmonid spine found during survey; Mouth of Porter is disconnected ~100' from upstream ,2014-2015,2015-01-28
Porter Creek,POR 3,RR-POR-004.65:006.83,WB BB,SS,2015,,99,CLEAR SUNNY,NO FISH OR NEW REDDS,2014-2015,2015-01-28
Sheephouse Creek,SHE 1,RR-SHE-000.00:003.55,AN SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-28
Pena Creek,PEN 3,RR-PEN-006.49:009.12,MW BW LC,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-29
Pena Creek,PEN 4,RR-PEN-009.12:013.89,AN SW,SS,2015,,99,CLEAR SUNNY,No new fish or redds. Evidence of drying tailspills on redds.,2014-2015,2015-01-29
Pena Creek,PEN 5,RR-PEN-013.89:017.04,JB HF,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-29
Woods Creek,WOO 1,RR-DEA-000.00:001.03,JB HF,SS,2015,,99,CLEAR SUNNY,"Did not complete reach. Went about 500m above last redd. No spawning areas, plus time constraint",2014-2015,2015-01-29
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,EM DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-29
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,AN WB,SS,2015,,99,CLEAR SUNNY,NO NEW FISH NO REDDS. Algae covering most of substrate,2014-2015,2015-01-30
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,AN WB,SS,2015,,99,CLEAR SUNNY,NO NEW FISH NO REDDS. Algae covering most of substrate,2014-2015,2015-01-30
Mill Creek,MIL 2,RR-MIL-003.03:005.75,JB SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO NEW REDDS,2014-2015,2015-02-02
Mill Creek,MIL 3,RR-MIL-005.75:009.98,HF DD,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-02
Wallace Creek,WAL 2,RR-WAL-001.83:004.43,HF DD,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-02
Pechaco Creek,PEC 1,RR-PEC-000.00:002.35,AN MW,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-02-02
Pena Creek,PEN 1,RR-PEN-000.00:004.05,EM ZR,SS,2015,,99,PARTLY CLOUDY,"NOT CONNECTED BELOW BRIDGE at multiple spots, old unflagged chinook redds seen",2014-2015,2015-02-02
Dutch Bill Creek,DUT 1,RR-DUT-000.00:004.81,JB BW,SS,2015,,99,CLEAR SUNNY,"MANY MINI DAMNS, MAN MADE",2014-2015,2015-02-03
Dutch Bill Creek,DUT 2,RR-DUT-004.81:009.04,ZR CT,SS,2015,,99,CLEAR SUNNY,no new fish no new redds,2014-2015,2015-02-03
Mill Creek,MIL 1,RR-MIL-000.00:002.46,BCB HF,SS,2015,,99,CLEAR SUNNY,NO FISH,2014-2015,2015-02-03
Felta Creek,FEL 1,RR-FEL-000.00:001.83,BCB HF,SS,2015,,99,CLEAR SUNNY,"NO FISH NO NEW REDDS, DRY FOR AROUND 100 YDS FROM MOUTH",2014-2015,2015-02-03
Mill Creek,MIL 4,RR-MIL-009.98:014.06,WB SW TB,SS,2015,,-9999,CLEAR SUNNY,,2014-2015,2015-02-03
Mill Creek,MIL 5,RR-ANG-000.00:000.50,TB SW WB,SS,2015,,-9999,CLEAR SUNNY,,2014-2015,2015-02-03
Palmer Creek,PAL 1,RR-PAL-000.00:002.75,DD LC,SS,2015,,99,CLEAR SUNNY,"STAFF=0.31 AT 11:04 No fish, No Reds",2014-2015,2015-02-03
Grape Creek,GRP 1,RR-GRP-000.00:001.39,AB SN,SS,2015,,99,OVERCAST,NO FISH NO REDDS. STILL CONNECTED AT MOUTH,2014-2015,2015-02-04
Grape Creek,GRP 2,RR-GRP-001.39:002.49,AB SN,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-02-04
Santa Rosa Creek,SAN 8,RR-SAN-025.32:028.22,JB MW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-04
Santa Rosa Creek,SAN 9,RR-329-000.00:000.67,JB MW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-04
Willow Creek,WIL 3,RR-WIL-003.49:006.15,NB EM,SS,2015,,99,PARTLY CLOUDY,very low water. Staff @ 1.81 ft at 10:23am,2014-2015,2015-02-04
Willow Creek,WIL 4,RR-WIL-006.15:009.16,"SW,DD?",SS,2015,,99,PARTLY CLOUDY,possible old coho redd 100 feet downstream of waterfall but above multiple LWD barriers,2014-2015,2015-02-04
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,BCB DD,SS,2015,,99,OVERCAST,NO FISH NO NEW REDDS,2014-2015,2015-02-05
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,BCB DD,SS,2015,,99,OVERCAST,NO FISH NO NEW REDDS,2014-2015,2015-02-05
Mark West Creek,MAR 12,RR-MAR-033.75:037.32,HF EM,SS,2015,,99,OVERCAST,,2014-2015,2015-02-05
Mark West Creek,MAR 14,RR-MAR-040.18:042.85,WB BW TB,SS,2015,,99,OVERCAST,NO NEW FISH OR REDDS,2014-2015,2015-02-05
Redwood Creek,RED 1,RR-RED-000.00:001.66,JB ZR LC ZS,SS,2015,,99,OVERCAST,"No new fish, No New Redds, Lots of algae",2014-2015,2015-02-05
Redwood Creek,RED 2,RR-RED-001.66:004.58,LC JB ZR ZS,SS,2015,,99,OVERCAST,"No new fish, No New Redds, lots of algae",2014-2015,2015-02-05
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,WB BW,SS,2015,,-9999,OVERCAST,,2014-2015,2015-02-11
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,WB BW,SS,2015,,-9999,PARTLY CLOUDY,,2014-2015,2015-02-11
Porter Creek,POR 3,RR-POR-004.65:006.83,HF WB,SS,2015,,0.5,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-12
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,SN AJ,SS,2015,,0.6,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-12
Pechaco Creek,PEC 1,RR-PEC-000.00:002.35,JB BW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-13
Pena Creek,PEN 3,RR-PEN-006.49:009.12,HF WB IV,SS,2015,,1.2,CLEAR SUNNY,,2014-2015,2015-02-13
Pena Creek,PEN 4,RR-PEN-009.12:013.89,BCB AB,SS,2015,,0.9,CLEAR SUNNY,NO FISH NO NEW REDDS,2014-2015,2015-02-13
Pena Creek,PEN 5,RR-PEN-013.89:017.04,NB SW,SS,2015,,0.6,CLEAR SUNNY,,2014-2015,2015-02-13
Woods Creek,WOO 1,RR-DEA-000.00:001.03,NB SW,SS,2015,,1.5,CLEAR SUNNY,,2014-2015,2015-02-13
Austin Creek,AUS 5,RR-AUS-009.86:012.13,CT SW,SS,2015,,99,OVERCAST,,2014-2015,2015-02-17
Austin Creek,AUS 6,RR-AUS-012.13:015.94,LC HF AJ,SS,2015,,99,OVERCAST,NO FISH,2014-2015,2015-02-17
Austin Creek,AUS 7,RR-AUS-015.94:018.53,LC AJ HF,SS,2015,,99,OVERCAST,,2014-2015,2015-02-17
East Austin Creek,EAU 1,RR-EAU-000.00:002.00,JB BW,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-02-17
Kidd Creek,KID 1,RR-KID-000.00:001.67,JB BW,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-02-17
Green Valley Creek,GRE 1,RR-GRE-007.80:012.49,DD AN,SS,2015,,2,OVERCAST,No fish,2014-2015,2015-02-17
Maacama Creek,MAA 4,RR-695-000.00:000.60,HF SW,SS,2015,,99,OVERCAST,,2014-2015,2015-02-18
Mill Creek,MIL 3,RR-MIL-005.75:009.98,AN BB TB,SS,2015,,99,OVERCAST,"NO FISH, 3 NEW REDDS, BLUE FLAGGING WAS USED TO MARK REDDS, THERE IS AN ADDITIONAL REDD LOCATED ABOVE ANTENNA MIL-6.10 THAT NEEDS TO BE FLAGGED AND WORKED UP NEXT TIME REACH IS SURVEYED",2014-2015,2015-02-18
Wallace Creek,WAL 2,RR-WAL-001.83:004.43,AN BB TB,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-18
Pena Creek,PEN 1,RR-PEN-000.00:004.05,JB BW ZS,SS,2015,,99,CLEAR SUNNY,Sun came out half way through survey,2014-2015,2015-02-18
Porter Creek,POR 1,RR-POR-000.00:002.43,EM ZR,SS,2015,,99,OVERCAST,no fish no redds,2014-2015,2015-02-18
Mill Creek,MIL 1,RR-MIL-000.00:002.46,AB ZR LC,SS,2015,,1.5,OVERCAST,STAFF 3.0 @13:41 RESET S,2014-2015,2015-02-19
Felta Creek,FEL 1,RR-FEL-000.00:001.83,LC AB ZR,SS,2015,,99,OVERCAST,,2014-2015,2015-02-19
Mill Creek,MIL 2,RR-MIL-003.03:005.75,AN WB,SS,2015,,99,OVERCAST,,2014-2015,2015-02-19
Mill Creek,MIL 4,RR-MIL-009.98:014.06,AJ DD,SS,2015,,99,OVERCAST,"Possible old Digging/redd at top of reach, No fish or Redds",2014-2015,2015-02-19
Mill Creek,MIL 5,RR-ANG-000.00:000.50,AJ DD,SS,2015,,99,CLEAR SUNNY,NO FISH; a couple possible redds observed throughout reach,2014-2015,2015-02-19
Palmer Creek,PAL 1,RR-PAL-000.00:002.75,HF BW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-19
Redwood Creek,RED 1,RR-RED-000.00:001.66,HF IV ZR,SS,2015,,99,OVERCAST,NO SALMONID/SUCKERS PRESENT,2014-2015,2015-02-20
Redwood Creek,RED 2,RR-RED-001.66:004.58,HF IV ZR,SS,2015,,99,PARTLY CLOUDY,NO FISH NO REDDS,2014-2015,2015-02-20
Sheephouse Creek,SHE 1,RR-SHE-000.00:003.55,BW DD,SS,2015,,99,PARTLY CLOUDY,"1.63 AT 9:37, No Fish No Redds",2014-2015,2015-02-20
Dutch Bill Creek,DUT 1,RR-DUT-000.00:004.81,HF EM,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-23
Dutch Bill Creek,DUT 2,RR-DUT-004.81:009.04,AN AJ,SS,2015,,99,CLEAR SUNNY,No live fish or new redds,2014-2015,2015-02-25
Green Valley Creek,GRE 1,RR-GRE-007.80:012.49,MW DD,SS,2015,,99,OVERCAST,"NO FISH, one Macrothalmia lamprey observed in reach",2014-2015,2015-03-02
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,EM ZR,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-25
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,EM ZR,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-25
Grape Creek,GRP 1,RR-GRP-000.00:001.39,AN SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-24
Grape Creek,GRP 2,RR-GRP-001.39:002.49,AN SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-24
Wine Creek,WIN 1,RR-WIN-000.00:001.65,AN SW,SS,2015,,99,CLEAR SUNNY,NO LIVE FISH AND 2 NEW REDDS,2014-2015,2015-02-24
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,EM DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-24
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,HF BB,SS,2015,,99,CLEAR SUNNY,NO FISH NO NEW REDDS,2014-2015,2015-02-24
Mark West Creek,MAR 12,RR-MAR-033.75:037.32,LC AB JB,SS,2015,,0.9,CLEAR SUNNY,,2014-2015,2015-02-24
Mark West Creek,MAR 14,RR-MAR-040.18:042.85,BW ZR,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-24
Mill Creek,MIL 2,RR-MIL-003.03:005.75,EM DD,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-26
Mill Creek,MIL 3,RR-MIL-005.75:009.98,HF SW,SS,2015,,99,CLEAR SUNNY,NO FISH ,2014-2015,2015-02-26
Wallace Creek,WAL 2,RR-WAL-001.83:004.43,SW HF,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-26
Pena Creek,PEN 1,RR-PEN-000.00:004.05,AN MW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-26
Pechaco Creek,PEC 1,RR-PEC-000.00:002.35,AN MW,SS,2015,,99,CLEAR SUNNY,"No live fish or redds, observed coho yoy",2014-2015,2015-02-26
Pena Creek,PEN 3,RR-PEN-006.49:009.12,JB DD,SS,2015,,99,CLEAR SUNNY,Check if all reach data issues are handled,2014-2015,2015-02-25
Pena Creek,PEN 4,RR-PEN-009.12:013.89,HF MW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-25
Pena Creek,PEN 5,RR-PEN-013.89:017.04,SW BW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-25
Woods Creek,WOO 1,RR-DEA-000.00:001.03,SW BW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-02-25
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,JB BW,SS,2015,,99,CLEAR SUNNY,"LOA ISSUES, skipped small part",2014-2015,2015-02-26
Redwood Creek,RED 1,RR-RED-000.00:001.66,AN SW,SS,2015,,99,PARTLY CLOUDY,No live fish or new redds,2014-2015,2015-03-02
Redwood Creek,RED 2,RR-RED-001.66:004.58,AN SW,SS,2015,,99,PARTLY CLOUDY,No live fish or new redds,2014-2015,2015-03-02
Santa Rosa Creek,SAN 8,RR-SAN-025.32:028.22,BW SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-23
Santa Rosa Creek,SAN 9,RR-329-000.00:000.67,BW SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-23
Willow Creek,WIL 3,RR-WIL-003.49:006.15,DD MW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-02-23
Willow Creek,WIL 3,RR-WIL-003.49:006.15,JB EM,SS,2015,,99,PARTLY CLOUDY,NO FISH NO NEW REDDS. Gauge=1.92 @10:25,2014-2015,2015-03-02
